platformId;name;alternate_name;release;company;generation;type;family;retroCompatibility;locked
139;1292 Advanced Programmable Video System;;1979;Radofin;2;Home video game console;1292 Advanced Programmable Video System;;1
155;1292 Advanced Programmable Video System;;1979;Fountain;2;Home video game console;1292 Advanced Programmable Video System;;1
57;3DO Interactive Multiplayer;3DO;04/10/1993;The 3DO Company;5;Home video game console;	;;1
56;64DD;;13/12/1999;Nintendo;5;Console accessory;Nintendo 64;;1
174;ABC 80;;1978;Dataindustrier AB ;;Computer;;;1
224;Acorn Archimedes;;jun-87;Acorn Computers;;Computer;;;1
180;Acorn Atom;;1980;Acorn Computers;;Computer;;;1
204;Acorn Electron;Elk;25/08/1983;Acorn Computers;;Computer;;;1
111;Action Max;;1987;Worlds of Wonder;3;Home video game console;;;1
154;Advanced Programmable Video System;;;Grandstand;2;Home video game console;1292 Advanced Programmable Video System;;1
135;Adventure Vision;;1982;Entex Industries;2;Handheld console;;;1
4;Amazon Luna;Luna;01/03/2021;Amazon;9;Cloud Gaming;;;0
219;Amiga;;23/07/1985;Commodore;;Computer;;;1
75;Amiga CD32;;29/04/1994;Commodore;5;Home video game console;Amiga;CDTV (partial);1
212;Amstrad CPC;;1984;Amstrad;;Computer;;;1
113;Amstrad GX4000;;sep-90;Amstrad;3;Home video game console;;;1
220;Amstrad PCW;Joyce;sep-85;Amstrad;;Computer;;;1
128;APF-MP1000;M-1000, MP-1000;oct-78;APF Electronics Inc.;2;Home video game console;;;1
162;Apple I;;11/04/1976;Apple;;Computer;;;1
166;Apple II;;jun-77;Apple;;Computer;;;1
167;Apple IIGS;;15/09/1986;Apple;;Computer;;;1
185;Apple III;;nov-80;Apple;;Computer;;;1
67;Apple Pippin;;18/06/1905;Apple;5;Home video game console;;;1
206;Aquarius;;jun-83;Mattel;;Computer;;;1
82;Arcade Card;;12/03/1994;NEC;4;Home video game console, Console Accessory;;;1
123;Arcadia 2001;;may-82;Emerson Radio;2;Home video game console;;;1
23;Arduboy;;2015;Arduboy Inc;8;Handheld console;;;0
115;Atari 2600;Atari VCS;sep-77;Atari Inc.;2;Home video game console;;;1
120;Atari 5200;;nov-82;Atari Inc.;2;Home video game console;;;1
99;Atari 7800;Atari 7800 ProSystem;may-86;Atari Corporation;3;Home video game console;;;1
179;Atari 8-bit;;nov-79;Atari Inc., Atari Corporation;;Computer;;;1
231;Atari Falcon;;1992;Atari;;Computer;;;1
58;Atari Jaguar;;23/11/1993;Atari Corporation;5;Home video game console;Atari Jaguar;;1
59;Atari Jaguar CD;;21/09/1995;Atari Corporation;5;Console accessory;Atari Jaguar;;1
92;Atari Lynx;;01/09/1989;Atari Corporation;4;Handheld console;;;1
221;Atari ST;;jun-85;Atari Corporation;;Computer;;;1
110;Atari XEGS;;1987;Atari Corporation;3;Home video game console;;;1
116;Bally Astrocade;Bally Arcade, Bally ABA-1000;abr-78;Bally;2;Home video game console;;;1
124;Bandai Arcadia;;1982;Bandai;2;Home video game console;;;1
126;Bandai RX-78;;jul-83;Bandai;;Computer;;;1
125;Bandai Super Vision 8000;TV Jack 8000;dic-79;Bandai;2;Home video game console;;;1
161;BASIC;;;;;Computer;;;1
105;BBC Bridge Companion;;1985;BBC Enterprises Ltd.;3;Home video game console;;;1
187;BBC Micro;British Broadcasting Corporation Microcomputer System;01/12/1981;Acorn Computers;;Computer;;;1
81;Beyond Super CD-ROM� System;;21/09/1991;NEC;4;Home video game console, Console Accessory;;;1
38;Caanoo;GP2X Caanoo;sep-11;GamePark Holdings;7;Handheld console;GP2X;;1
205;Camputers Lynx;;mar-83;Camputers;;Computer;;;1
69;Casio Loopy;;19/10/1995;Casio;5;Home video game console;;;1
129;Cassette Vision;;30/07/1981;Epoch Co.;2;Home video game console;;;1
90;CD-i;Compact Disc-Interactive, CD-I;1990;Philips;4;Home video game console;;;1
89;CDTV;Commodore CDTV;mar-91;Commodore;4;Home video game console;;;1
114;Channel F;Fairchild Channel F;nov-76;"	Fairchild Camera and Instrument";2;Home video game console;;;1
163;Chip 8;;;;;Computer;;;1
215;Classic Mac OS;Macintosh, System Software;24/01/1984;Apple;;Computer;;;1
122;Coleco Adam;;oct-83;Coleco;;Computer;;;1
159;Coleco Telstar Arcade;Telstar Arcade;1977;Coleco;1;Home video game console;;;1
121;ColecoVision;;ago-82;Coleco;2;Home video game console;;;1
6;Commander X16;;2020;8-Bit Productions LLC;;Computer;;;0
193;Commodore 128;C128, C-128, C= 128;1985;Commodore;;Computer;;;1
213;Commodore 16/Plus4;;1984;Commodore;;Computer;;;1
192;Commodore 64;C64, CBM 64;ago-82;Commodore;;Computer;;;1
168;Commodore PET;;dic-77;Commodore;;Computer;;;1
171;COSMAC VIP;;1977;RCA;;Computer;;;1
94;CPS Changer;Capcom Power System Changer;1994;Capcom;4;Home video game console;;;1
141;CX-3000 Data Bass Sistem;;;Palson;2;Home video game console;Interton VC-4000, 1292 Advanced Programmable Video System;;1
175;Cybervision;;1978;Authorship Resource Inc. ;;Computer;;;1
149;Database;;1980;Voltmace;2;Home video game console;1292 Advanced Programmable Video System;;1
76;Design Master Senshi Mangajukuu;Denshi Manga Juku;1995;Bandai;5;Handheld console;;;1
37;digiBLAST;;nov-05;Nikko;7;Handheld console;;;1
189;DOS;;12/08/1981;Microsoft;;Computer;;;1
194;Dragon 32/64;;ago-82;Dragon Data;;Computer;;;1
45;Dreamcast;;27/11/1998;Sega;6;Home video game console;;;1
222;Enterprise;;1985;Enterprise Computers;;Computer;;;1
134;Entex Select-A-Game;;1981;Entex Industries;2;Handheld console;;;1
137;Epoch Game Pocket Computer;;1984;Epoch Co.;2;Handheld console;;;1
188;Epson HX-20;HC-20;jul-82;Seiko Epson;;Computer;;;1
16;Evercade;;22/05/2020;"	Blaze Entertainment";8;Handheld console;Evercade;;0
17;Evercade VS;;dic-21;"	Blaze Entertainment";9;Home video game console;Evercade;;0
176;Exidy Sorcerer;;1978;Exidy;;Computer;;;1
214;EXL 100;;1984;Exelvision;;Computer;;;1
97;Famicom Disk System;Family Computer Disk System, Disk System;21/02/1986;Nintendo;3;Console accessory;Famicom;;1
227;FM Towns;;28/02/1989;Fujitsu;;Computer;;;1
65;FM Towns Marty;;20/02/1993;Fujitsu;5;Home video game console;;;1
195;FM-7;Fujitsu Micro 7;nov-82;Fujitsu;;Computer;;;1
196;FM-8;Fujitsu Micro 8;may-81;Fujitsu;;Computer;;;1
131;Gakken Compact Vision TV Boy;;oct-83;Gakken;2;Home video game console;;;1
138;Game & Watch;;28/04/1980;Nintendo;2;Handheld console;;;1
91;Game Boy;;21/04/1989;Nintendo;4;Handheld console;Game Boy;;1
49;Game Boy Advance;;21/03/2001;Nintendo;6;Handheld console;Game Boy;;1
74;Game Boy Color;;21/10/1998;Nintendo;5;Handheld console;Game Boy;Game Boy;1
93;Game Gear;;06/10/1990;Sega;4;Handheld console;;;1
30;Game Wave;Game Wave Family Entertainment System;oct-05;ZAPiT Games;7;Home video game console;;;1
70;game.com;;12/09/1997;Tiger Electronics;5;Handheld console;;;1
46;GameCube;;14/09/2001;Nintendo;6;Home video game console;;;1
35;Gizmondo;;19/03/2005;Tiger Telematics;7;Handheld console;;;1
3;Google Stadia;Stadia;19/11/2019;Google;8;Cloud Gaming;;;0
39;GP2X Wiz;;13/05/2009;GamePark Holdings;7;Handheld console;GP2X;;1
55;GP32;;23/11/2001;Game Park;6;Handheld console;;;1
156;HMG-1292 Advanced Programmable Video System;;;Hanimex;2;Home video game console;1292 Advanced Programmable Video System;;1
29;HyperScan;;23/10/2006;Mattel;7;Home video game console;;;1
119;Intellivision;;1980;Mattel;2;Home video game console;;;1
177;Interact Home Computer;;1978;Interact Electronics Inc;;Computer;;;1
146;Jeu Video TV;;;Karvan;2;Home video game console;Video TV Game, 1292 Advanced Programmable Video System;;1
164;KIM-1;MOS Technology Keyboard Input Monitor-1;1976;MOS Technology, Inc.;;Computer;;;1
153;Lansay 1392;;1979;Lansay;2;Home video game console;1292 Advanced Programmable Video System;;1
78;LaserActive;;20/08/1993;Piooner Coorporation;4;Home video game console;;;1
